1, 27.77, 27772148.49
2, 339.56, 169780197.94
4, 500.11, 125027103.64
8, 505.53, 63191091.17
16, 2661.14, 166321464.27
32, 4624.71, 144522043.32
64, 10967.53, 171367673.13
128, 20173.07, 157602084.86
256, 37923.91, 148140257.53
512, 57366.45, 112043839.79
1024, 67302.42, 65725018.99
2048, 122440.21, 59785257.91
4096, 143863.95, 35123034.59
8192, 183787.88, 22435043.60
16384, 211711.47, 12921842.63
32768, 57306.39, 1748852.25
65536, 57793.11, 881852.90
131072, 58207.45, 444087.63
262144, 58240.13, 222168.45
524288, 54386.08, 103733.22
1048576, 27515.60, 26240.92
2097152, 37640.45, 17948.37
4194304, 36061.54, 8597.74
8388608, 31337.64, 3735.74
