1, 56.28, 56282588.43
2, 275.51, 137757057.25
4, 567.52, 141880136.14
8, 971.36, 121420005.07
16, 2495.78, 155986459.54
32, 4549.73, 142178938.72
64, 9498.57, 148415081.45
128, 15195.70, 118716377.81
256, 32438.42, 126712595.70
512, 48344.79, 94423411.71
1024, 69885.39, 68247449.86
2048, 113548.90, 55443800.61
4096, 155501.15, 37964148.22
8192, 190413.24, 23243803.55
16384, 155194.32, 9472309.46
32768, 56691.96, 1730101.47
65536, 56270.40, 858618.15
131072, 57784.56, 440861.19
262144, 57489.87, 219306.44
524288, 57100.58, 108910.70
1048576, 27195.73, 25935.87
2097152, 36650.01, 17476.09
4194304, 35743.46, 8521.91
8388608, 31113.33, 3709.00
