1, 28.42, 28417908.27
2, 338.65, 169322914.07
4, 682.81, 170702174.05
8, 756.60, 94574948.21
16, 2802.09, 175130864.72
32, 4945.63, 154550922.09
64, 10944.67, 171010510.80
128, 20278.89, 158428790.40
256, 38228.66, 149330691.67
512, 56017.41, 109409003.61
1024, 78948.67, 77098307.96
2048, 120724.02, 58947275.16
4096, 78754.42, 19227152.54
8192, 184610.79, 22535496.77
16384, 140282.68, 8562175.28
32768, 56401.36, 1721232.93
65536, 53069.85, 809781.57
131072, 53733.35, 409952.94
262144, 58605.32, 223561.55
524288, 51159.42, 97578.85
1048576, 26794.71, 25553.43
2097152, 35775.72, 17059.19
4194304, 34429.77, 8208.70
8388608, 28805.10, 3433.84
