1, 53.95, 53946343.00
2, 251.21, 125603979.89
4, 597.45, 149361715.46
8, 1228.86, 153606877.81
16, 2498.05, 156128019.87
32, 4645.64, 145176404.93
64, 9634.02, 150531563.29
128, 15618.06, 122016080.87
256, 31881.81, 124538337.42
512, 48468.28, 94664615.88
1024, 68856.03, 67242218.77
2048, 118156.65, 57693676.87
4096, 130864.51, 31949343.99
8192, 179059.56, 21857856.29
16384, 207386.74, 12657882.36
32768, 55225.65, 1685353.20
65536, 56862.60, 867654.49
131072, 58273.89, 444594.53
262144, 57357.62, 218801.98
524288, 58553.78, 111682.47
1048576, 26960.58, 25711.62
2097152, 36674.14, 17487.59
4194304, 35553.20, 8476.54
8388608, 30873.59, 3680.42
