1, 59.11, 59113062.78
2, 269.15, 134574218.33
4, 234.51, 58626257.94
8, 1241.09, 155136101.16
16, 1444.09, 90255636.91
32, 2651.34, 82854439.49
64, 9626.62, 150415876.57
128, 16196.86, 126537978.16
256, 34350.53, 134181754.41
512, 47936.85, 93626656.55
1024, 68247.26, 66647715.13
2048, 93714.70, 45759129.96
4096, 133111.40, 32497900.30
8192, 173364.88, 21162705.58
16384, 207402.41, 12658838.73
32768, 51464.78, 1570580.47
65536, 55985.54, 854271.61
131072, 57613.30, 439554.61
262144, 56974.74, 217341.38
524288, 51261.95, 97774.40
1048576, 27270.70, 26007.37
2097152, 35868.59, 17103.48
4194304, 34826.87, 8303.37
8388608, 30381.04, 3621.70
