1, 51.89, 51888792.04
2, 282.70, 141348695.03
4, 595.66, 148914783.18
8, 1108.88, 138609745.22
16, 1099.54, 68721069.08
32, 4699.89, 146871520.20
64, 7044.41, 110068894.35
128, 15425.84, 120514368.85
256, 35274.23, 137789976.12
512, 48641.10, 95002144.08
1024, 38721.46, 37813929.79
2048, 58398.79, 28515035.09
4096, 91205.74, 22267026.99
8192, 176921.40, 21596850.77
16384, 202653.73, 12369002.18
32768, 57397.83, 1751642.73
65536, 55438.90, 845930.55
131072, 58164.99, 443763.64
262144, 58749.87, 224112.96
524288, 53247.27, 101561.10
1048576, 27213.74, 25953.04
2097152, 36968.64, 17628.02
4194304, 35868.34, 8551.68
8388608, 28285.72, 3371.92
