1, 52.70, 52701183.43
2, 314.84, 157420278.08
4, 679.84, 169960985.56
8, 1408.22, 176027290.73
16, 2814.62, 175913581.27
32, 5476.54, 171141763.33
64, 10943.80, 170996804.05
128, 20293.75, 158544945.63
256, 37790.51, 147619178.01
512, 57682.52, 112661177.88
1024, 77216.27, 75406517.56
2048, 111603.54, 54493917.86
4096, 153091.90, 37375951.40
8192, 182808.05, 22315435.65
16384, 222992.63, 13610389.81
32768, 55050.78, 1680016.50
65536, 57482.67, 877115.91
131072, 54808.44, 418155.23
262144, 56407.07, 215175.88
524288, 55468.61, 105797.98
1048576, 26387.23, 25164.82
2097152, 34763.77, 16576.66
4194304, 33552.54, 7999.55
8388608, 29293.76, 3492.09
