1, 0.89, 889723.05
2, 2.11, 1056213.73
4, 4.23, 1057438.52
8, 8.45, 1056487.79
16, 16.84, 1052707.06
32, 33.78, 1055660.44
64, 67.62, 1056638.92
128, 134.97, 1054448.25
256, 269.37, 1052219.27
512, 536.92, 1048665.60
1024, 1605.64, 1568006.84
2048, 3195.82, 1560461.35
4096, 6161.20, 1504198.42
8192, 8854.56, 1080878.46
16384, 5592.95, 341366.70
32768, 8105.82, 247369.90
65536, 10335.33, 157704.56
131072, 11063.34, 84406.56
262144, 9365.96, 35728.30
524288, 8997.46, 17161.29
1048576, 8923.54, 8510.15
2097152, 9223.01, 4397.87
4194304, 9324.43, 2223.12
8388608, 9214.97, 1098.51
