1, 29.17, 29168127.98
2, 58.36, 29179920.28
4, 118.06, 29514339.24
8, 235.93, 29490964.07
16, 499.98, 31248807.95
32, 1011.52, 31609999.29
64, 1972.93, 30827066.25
128, 3742.50, 29238294.60
256, 5753.42, 22474283.65
512, 9927.51, 19389670.36
1024, 13632.25, 13312748.84
2048, 18957.38, 9256533.78
4096, 23412.97, 5716056.03
8192, 27519.50, 3359313.47
16384, 22455.44, 1370571.54
32768, 17489.37, 533733.11
65536, 17814.61, 271829.38
131072, 17579.97, 134124.56
262144, 14749.03, 56263.07
524288, 13801.94, 26325.11
1048576, 12548.47, 11967.15
2097152, 13059.91, 6227.45
4194304, 13276.83, 3165.44
8388608, 13632.69, 1625.14
