1, 32.42, 32419554.63
2, 64.68, 32341799.76
4, 130.65, 32663281.52
8, 278.53, 34816239.36
16, 558.58, 34911124.09
32, 1090.89, 34090436.20
64, 2117.86, 33091636.20
128, 4127.73, 32247905.78
256, 6520.05, 25468954.27
512, 10775.03, 21044978.76
1024, 15774.41, 15404692.87
2048, 21016.34, 10261883.47
4096, 25294.99, 6175533.82
8192, 28651.80, 3497534.29
16384, 20391.19, 1244579.18
32768, 17449.76, 532524.39
65536, 17547.40, 267752.14
131072, 15218.48, 116107.82
262144, 14538.77, 55460.99
524288, 14342.69, 27356.51
1048576, 12614.54, 12030.17
2097152, 12074.35, 5757.50
4194304, 9434.81, 2249.43
8388608, 9163.48, 1092.37
